uid,pmcid,title,journal,pubdate,doi,source_query
4568193,PMC4568193,Effects of citalopram on heart rate variability in women with generalized anxiety disorder.,ARYA Atheroscler,2015 May,,dysautonomia
4563835,PMC4563835,"Case report of severe Cushing's syndrome in medullary thyroid cancer complicated by functional diabetes insipidus, aortic dissection, jejunal intussusception, and paraneoplastic dysautonomia: remission with sorafenib without reduction in cortisol concentration.",BMC Cancer,2015 Sep 9,10.1186/s12885-015-1620-3,dysautonomia
4480239,PMC4480239,Neuroleptic Malignant Syndrome: A Case Aimed at Raising Clinical Awareness.,Case Rep Med,2015,10.1155/2015/769576,dysautonomia
4488571,PMC4488571,Propranolol for Paroxysmal Sympathetic Hyperactivity with Lateralizing Hyperhidrosis after Stroke.,Case Rep Neurol Med,2015,10.1155/2015/421563,dysautonomia
4399511,PMC4399511,Cognitive dysfunction during anti-NMDA-receptor encephalitis is present in early phase of the disease.,Oxf Med Case Reports,2014 Jul,10.1093/omcr/omu028,dysautonomia
4376931,PMC4376931,Squamous carcinoma of the lung presenting as migraine-type headache: a case report.,Case Rep Oncol,2015 Jan-Apr,10.1159/000379741,dysautonomia
4250000,PMC4250000,Midbrain hypometabolism in fatal familial insomnia: a case report and a statistical parametric mapping analysis of a korean family.,Case Rep Neurol,2014 Sep,10.1159/000365412,dysautonomia
4079025,PMC4079025,Clinical and echocardiographic predictors of mortality in chagasic cardiomyopathy--systematic review.,Arq Bras Cardiol,2014 Jun,10.5935/abc.20140068,dysautonomia
3985363,PMC3985363,Guillain-Barre syndrome with posterior reversible encephalopathy syndrome.,J Neurosci Rural Pract,2014 Jan,10.4103/0976-3147.127877,dysautonomia
3785341,PMC3785341,"Acute autonomic, sensory and motor neuropathy associated with meningoencephalitis.",Clin Med Case Rep,2009,10.4137/ccrep.s2194,dysautonomia
3488764,PMC3488764,Autonomic symptoms are common and are associated with overall symptom burden and disease activity in primary Sjogren's syndrome.,Ann Rheum Dis,2012 Dec,10.1136/annrheumdis-2011-201009,dysautonomia; autonomic_dysfunction
3420600,PMC3420600,Dysautonomia in autism spectrum disorder: case reports of a family with review of the literature.,Autism Res Treat,2011,10.1155/2011/129795,dysautonomia
2901264,PMC2901264,Post-adenoviral parasympathetic dysautonomia in a child: a case report.,J Med Case Rep,2010 Jun 18,10.1186/1752-1947-4-138,dysautonomia
2877907,PMC2877907,N-methyl-D-aspartate antibody encephalitis: temporal progression of clinical and paraclinical observations in a predominantly non-paraneoplastic disorder of both sexes.,Brain,2010 Jun,10.1093/brain/awq113,dysautonomia
2644268,PMC2644268,"Dysautonomia, a heuristic approach to a revised model for etiology of disease.",Evid Based Complement Alternat Med,2009 Mar,10.1093/ecam/nem064,dysautonomia; autonomic_dysfunction
12733568,PMC12733568,The Vagal Link: Autonomic Nervous System Dysfunction in Cardiac Amyloidosis.,J Clin Med,2025 Dec 18,10.3390/jcm14248963,orthostatic_intolerance; autonomic_dysfunction
12382099,PMC12382099,Mapping cerebral blood flow in myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and orthostatic intolerance: insights from a systematic review.,J Transl Med,2025 Aug 26,10.1186/s12967-025-06954-w,orthostatic_intolerance
11521494,PMC11521494,Head-Up Tilt Sleeping to Treat Orthostatic Intolerance in a Patient with Advanced Parkinson's Disease: A Case Report.,Case Rep Neurol,2024 Jan-Dec,10.1159/000541424,orthostatic_intolerance; autonomic_dysfunction
10760969,PMC10760969,Cardiac noradrenergic deficiency revealed by 18F-dopamine positron emission tomography identifies preclinical central Lewy body diseases.,J Clin Invest,2024 Jan 2,10.1172/JCI172460,orthostatic_intolerance
10121145,PMC10121145,"Exaggerated blood pressure elevation in response to orthostatic challenge, a post-acute sequelae of SARS-CoV-2 infection (PASC) after hospitalization.",Auton Neurosci,2023 Jul,10.1016/j.autneu.2023.103094,orthostatic_intolerance; autonomic_dysfunction
9450930,PMC9450930,Orthostatic and Exercise Intolerance in Recreational and Competitive Athletes With Long COVID.,JACC Case Rep,2022 Sep 7,10.1016/j.jaccas.2022.07.007,orthostatic_intolerance
9413925,PMC9413925,An unusual presentation of anaphylaxis with severe hypertension: a case report.,J Med Case Rep,2022 Aug 26,10.1186/s13256-022-03528-y,orthostatic_intolerance
9364197,PMC9364197,Effectiveness of treatment for 31 patients with seropositive autoimmune autonomic ganglionopathy in Japan.,Ther Adv Neurol Disord,2022,10.1177/17562864221110048,orthostatic_intolerance
8780476,PMC8780476,A case report of severe cardioinhibitory reflex syncope associated with coronavirus disease 2019.,Eur Heart J Case Rep,2022 Jan,10.1093/ehjcr/ytab524,orthostatic_intolerance
8781100,PMC8781100,Compression Stockings Improve Cardiac Output and Cerebral Blood Flow during Tilt Testing in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) Patients: A Randomized Crossover Trial.,Medicina (Kaunas),2021 Dec 29,10.3390/medicina58010051,orthostatic_intolerance
8402449,PMC8402449,A Long-Term Observation on the Possible Adverse Effects in Japanese Adolescent Girls after Human Papillomavirus Vaccination.,Vaccines (Basel),2021 Aug 4,10.3390/vaccines9080856,orthostatic_intolerance
8347138,PMC8347138,Patients with Persistent Polyclonal B-Cell Lymphocytosis Share the Symptomatic Criteria of Systemic Exertion Intolerance Disease.,J Clin Med,2021 Jul 29,10.3390/jcm10153374,orthostatic_intolerance
7803043,PMC7803043,Initial orthostatic hypotension and orthostatic intolerance symptom prevalence in older adults: A systematic review.,Int J Cardiol Hypertens,2021 Mar,10.1016/j.ijchy.2020.100071,orthostatic_intolerance
7391812,PMC7391812,Review of case definitions for myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).,J Transl Med,2020 Jul 29,10.1186/s12967-020-02455-0,orthostatic_intolerance
7073977,PMC7073977,Cardiac Autonomic Dysfunction in Multiple Sclerosis: A Systematic Review of Current Knowledge and Impact of Immunotherapies.,J Clin Med,2020 Jan 24,10.3390/jcm9020335,orthostatic_intolerance; autonomic_dysfunction
5796598,PMC5796598,Improvement of severe myalgic encephalomyelitis/chronic fatigue syndrome symptoms following surgical treatment of cervical spinal stenosis.,J Transl Med,2018 Feb 2,10.1186/s12967-018-1397-7,orthostatic_intolerance
5688202,PMC5688202,Suspected Adverse Effects After Human Papillomavirus Vaccination: A Temporal Relationship Between Vaccine Administration and the Appearance of Symptoms in Japan.,Drug Saf,2017 Dec,10.1007/s40264-017-0574-6,orthostatic_intolerance
5474682,PMC5474682,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Diagnosis and Management in Young People: A Primer.,Front Pediatr,2017,10.3389/fped.2017.00121,orthostatic_intolerance
5058431,PMC5058431,A Pair of Identical Twins Discordant for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Differ in Physiological Parameters and Gut Microbiome Composition.,Am J Case Rep,2016 Oct 10,10.12659/ajcr.900314,orthostatic_intolerance
4390387,PMC4390387,Clinical prodromes of neurodegeneration in Anderson-Fabry disease.,Neurology,2015 Apr 7,10.1212/WNL.0000000000001450,orthostatic_intolerance
4015480,PMC4015480,"A man with small vessel vasculitis presenting with brachial diplegia, multiple cranial mononeuropathies and severe orthostatic hypotension in diabetes mellitus: a case report.",J Med Case Rep,2013 Oct 1,10.1186/1752-1947-7-229,orthostatic_intolerance
13075920,PMC13075920,"Peripheral Nerve Surgery and Chemotherapy: A Review, Index, and Decision Tree for Nerve Surgeons Considering Neurotization After Oncological Nerve Injuries.",Neurosurg Pract,2026 Jun,10.1227/neuprac.0000000000000206,autonomic_dysfunction
13070483,PMC13070483,"PURA-Related Neurodevelopmental Disorder: A Comprehensive Clinical Review of Genetics, Phenotype, and Emerging Therapeutic Strategies.",Cureus,2026 Mar,10.7759/cureus.105181,autonomic_dysfunction
13066704,PMC13066704,Osteopathic Manipulative Treatment for Complex Regional Pain Syndrome: A Scoping Review of Current Evidence.,Cureus,2026 Apr,10.7759/cureus.106748,autonomic_dysfunction
13061278,PMC13061278,Posterior Reversible Encephalopathy Syndrome (PRES) in an Elderly Patient With Advanced Parkinson's Disease and Autonomic Dysfunction: A Case Report and Literature Review.,Cureus,2026 Mar,10.7759/cureus.104879,autonomic_dysfunction
13045129,PMC13045129,Targeting risk factors and strategies for prevention of peripheral neuropathy: focus on B-vitamin deficiencies and metabolic diseases.,Neurol Res Pract,2026 Apr 1,10.1186/s42466-026-00466-8,autonomic_dysfunction
13040132,PMC13040132,Postprandial Hypotension-Methods for the Evaluation and Management.,Geriatr Gerontol Int,2026 Apr,10.1111/ggi.70456,autonomic_dysfunction
13034025,PMC13034025,Morvan syndrome in a patient with progressing metastatic thymoma and myasthenia gravis.,BMJ Case Rep,2026 Mar 19,10.1136/bcr-2025-271140,autonomic_dysfunction
13025851,PMC13025851,PHOX2B Tyr14Ter Mutation Might Be Associated with Sustained Diurnal Hypertension: Case Report and Review of the Literature.,Children (Basel),2026 Mar 19,10.3390/children13030425,autonomic_dysfunction
13029649,PMC13029649,"Treating the Patient, Not Only the Amyloid: Symptomatic Management in Transthyretin Amyloidosis.",Neurol Int,2026 Mar 13,10.3390/neurolint18030053,autonomic_dysfunction
13003461,PMC13003461,"Erectile dysfunction, type 2 diabetes, and cardiovascular disease: a narrative review and insights from a global real-world cohort analysis.",Front Clin Diabetes Healthc,2026,10.3389/fcdhc.2026.1781581,autonomic_dysfunction
13000107,PMC13000107,Innovative Diabetes Therapies and Impact on Peripheral and Autonomic Diabetic Neuropathies: A State-of-the-Art Review.,Diabetes Ther,2026 Mar,10.1007/s13300-025-01828-2,autonomic_dysfunction
12998714,PMC12998714,Regenerative medicine approaches for the treatment of peripheral nerve injuries: progress and challenges.,Regen Biomater,2026,10.1093/rb/rbag015,autonomic_dysfunction
12994531,PMC12994531,Multiple Red Flags of Transthyretin Amyloid Cardiomyopathy in a Single Patient: A Case Report on Diagnostic Challenge.,Int Med Case Rep J,2026,10.2147/IMCRJ.S589746,autonomic_dysfunction
12988465,PMC12988465,Rewiring the Lung-CNS Axis After Spinal Cord Injury.,J Inflamm Res,2026,10.2147/JIR.S542308,autonomic_dysfunction
12967037,PMC12967037,Morvan Syndrome Masquerading as Anxiety Disorder: A Case Report Highlighting the Importance of Recognizing Organic Signs in Psychiatric Settings.,Int Med Case Rep J,2026,10.2147/IMCRJ.S589585,autonomic_dysfunction
12961582,PMC12961582,Sickle cell related cardiomyopathy and cardiovascular autonomic dysfunction.,Front Cardiovasc Med,2026,10.3389/fcvm.2026.1756623,autonomic_dysfunction
12947505,PMC12947505,Inferior olive lesions in autoimmune glial fibrillary acidic protein astrocytopathy: a report of two cases.,BMC Neurol,2026 Jan 31,10.1186/s12883-026-04683-1,autonomic_dysfunction
12932114,PMC12932114,"Negative [99mTc]Tc -DPD Scintigraphy, Presence of Monoclonal Protein and Biopsy Suggestive of AL Amyloidosis in a Patient With Homozygous p.Ala101Val Transthyretin Gene Variant.",Clin Case Rep,2026 Mar,10.1002/ccr3.71928,autonomic_dysfunction
12929980,PMC12929980,Mapping of Dietary Interventions Beneficial in the Prevention of Secondary Health Conditions in Spinal Cord Injured Population: A Systematic Review.,J Nutr Health Aging,2023,10.1007/s12603-023-1937-6,autonomic_dysfunction
12926101,PMC12926101,BRAT1 gene compound heterozygous mutations causing lethal neonatal rigidity and multifocal seizure syndrome: a case report.,Front Pediatr,2026,10.3389/fped.2026.1694328,autonomic_dysfunction
12909685,PMC12909685,The causative role of amyloidosis in the cardiac complications of Alzheimer's disease: a comprehensive systematic review.,J Physiol,2026 Feb,10.1113/JP286599,autonomic_dysfunction
12891107,PMC12891107,Promethazine-induced neuroleptic malignant syndrome under general anesthesia: a case report.,Front Psychiatry,2026,10.3389/fpsyt.2026.1700644,autonomic_dysfunction
12889289,PMC12889289,Ultrasonographic measurement of cross-sectional area of the vagus nerve in patients with diabetic neuropathy: a systematic review and meta-analysis.,Ann Med Surg (Lond),2026 Feb,10.1097/MS9.0000000000004705,autonomic_dysfunction
12883741,PMC12883741,"Heart rate variability in cardiovascular disease diagnosis, prognosis and management.",Front Cardiovasc Med,2025,10.3389/fcvm.2025.1680783,autonomic_dysfunction
12863776,PMC12863776,Effect of antifungal triazoles on vinca alkaloid neurotoxicity in pediatric patients: A retrospective case series analysis and literature review.,Medicine (Baltimore),2026 Jan 30,10.1097/MD.0000000000047447,autonomic_dysfunction
12858730,PMC12858730,Challenges in managing prolonged intensive care unit stay for Guillain-Barré syndrome-acute motor axonal neuropathy variant.,SAGE Open Med Case Rep,2026,10.1177/2050313X261418766,autonomic_dysfunction
12851403,PMC12851403,Mechanisms and Clinical Implications of the Post-traumatic Stress Disorder (PTSD)-Cardiovascular Disease Link.,Cureus,2025 Dec,10.7759/cureus.100349,autonomic_dysfunction
12844876,PMC12844876,Adult Botulism of Unknown Source with Post-Toxin Anti-GQ1b Antibodies: Implications for Molecular Mimicry-A Case Report.,Neurol Int,2025 Dec 29,10.3390/neurolint18010008,autonomic_dysfunction
12834015,PMC12834015,Relationship between COVID-19 and hypopituitarism: A two-sample Mendelian randomization study.,IBRO Neurosci Rep,2025 Dec,10.1016/j.ibneur.2025.08.019,autonomic_dysfunction
12831383,PMC12831383,"Dengue virus infection and Guillain-Barré syndrome: a systematic review of clinical characteristics, outcomes, and predictors of severity.",BMC Infect Dis,2025 Dec 20,10.1186/s12879-025-12428-7,autonomic_dysfunction
12773426,PMC12773426,Abstract 126: Bilateral Limb Shaking TIA secondary to Severe Bilateral Carotid Stenosis.,Stroke Vasc Interv Neurol,2023 Nov,10.1161/SVIN.03.suppl_2.126,autonomic_dysfunction
12815724,PMC12815724,"Autonomic dysfunction and hemodynamic management after acute spinal cord injury: blood pressure targets, perfusion strategies, and emerging therapies.",Front Neurol,2025,10.3389/fneur.2025.1716013,autonomic_dysfunction
12812994,PMC12812994,Pharmacovigilance study on neurological adverse reactions of proteasome inhibitors in the FDA adverse event reporting system.,Front Pharmacol,2025,10.3389/fphar.2025.1712361,autonomic_dysfunction
12811643,PMC12811643,Arrhythmogenic Implications of Inflammatory Bowel Disease: Its Mechanisms and Treatment Effects.,Cureus,2025 Dec,10.7759/cureus.99503,autonomic_dysfunction
12798721,PMC12798721,Botulism Sequelae: A Systematic Review.,Open Forum Infect Dis,2026 Jan,10.1093/ofid/ofaf773,autonomic_dysfunction
12789760,PMC12789760,Fragile X and Fatal Rhythms: Electroconvulsive Therapy-Induced Ventricular Tachycardia.,JACC Case Rep,2025 Sep 10,10.1016/j.jaccas.2025.105077,autonomic_dysfunction
12766416,PMC12766416,Efficacy and safety of perospirone as adjunctive therapy in major depressive disorder patients with inadequate response to antidepressants: a randomized clinical trial.,EClinicalMedicine,2025 Dec,10.1016/j.eclinm.2025.103626,autonomic_dysfunction
12745264,PMC12745264,"Anti-LGI1 encephalitis: clinical presentation, imaging features, and prognostic analysis.",Front Neurol,2025,10.3389/fneur.2025.1703647,autonomic_dysfunction
12741864,PMC12741864,Harnessing Artificial Intelligence for Precision Cardiovascular Medicine.,Cureus,2025 Nov,10.7759/cureus.97837,autonomic_dysfunction
12729304,PMC12729304,Cardiac Autonomic Dysfunction and Increased Oxidative Stress in Conventional Cigarettes and E-Cigarettes: Heart Rate Variability as a Cardiovascular Predictor.,Antioxidants (Basel),2025 Dec 18,10.3390/antiox14121516,autonomic_dysfunction
12723223,PMC12723223,Acute Autonomic Sensory Neuropathy Causing Severe Hyponatremia: A Rare Cause of Syndrome of Inappropriate Antidiuresis.,JCEM Case Rep,2026 Jan,10.1210/jcemcr/luaf299,autonomic_dysfunction
12722888,PMC12722888,Robotic hormonal and autonomic modulation for type 2 diabetes: ileal interposition and hepatic sympathectomy.,Front Surg,2025,10.3389/fsurg.2025.1657656,autonomic_dysfunction
12683964,PMC12683964,Long-Term Continuous Heart Rate Variability Monitoring Over 20 Days for Severe Tetanus: A Case Report.,Am J Case Rep,2025 Nov 16,10.12659/AJCR.949230,autonomic_dysfunction
12678056,PMC12678056,Peripheral Neuropathy Associated With Proteasome Inhibitors and Immunomodulatory Drugs: A Pharmacovigilance Disproportionality Analysis Using VigiBase.,Pharmacol Res Perspect,2025 Dec,10.1002/prp2.70191,autonomic_dysfunction
12673360,PMC12673360,Novel autonomic dysregulation score in children with hypothalamic syndrome.,Endocr Connect,2025 Dec 1,10.1530/EC-25-0336,autonomic_dysfunction
12662800,PMC12662800,Spinal cord metabolism in multiple sclerosis: a decade of missed opportunities and future directions.,Spinal Cord,2025 Dec,10.1038/s41393-025-01143-4,autonomic_dysfunction
12648521,PMC12648521,The spiked helmet sign in severe sepsis: an unusual electrocardiographic finding in a critically ill patient.,Oxf Med Case Reports,2025 Nov,10.1093/omcr/omaf232,autonomic_dysfunction
12628008,PMC12628008,Guillain-Barré Syndrome Following Malaria: A Rare Case Report From Rural Ethiopia and Literature Review.,Clin Case Rep,2025 Nov,10.1002/ccr3.71503,autonomic_dysfunction
12618121,PMC12618121,Oral Rehabilitation in Patient With Hereditary Sensory and Autonomic Neuropathy (HSAN) Type V: Clinical Report.,Case Rep Dent,2025,10.1155/crid/6868923,autonomic_dysfunction
12590904,PMC12590904,Autonomic Dysfunction Following Surgical Resection of Cervicomedullary Hemangioblastoma: A Case Report and Literature Review.,Cureus,2025 Oct,10.7759/cureus.94021,autonomic_dysfunction
12564675,PMC12564675,"The Gut-Brain-Immune Axis in Environmental Sensitivity Illnesses: Microbiome-Centered Narrative Review of Fibromyalgia Syndrome, Myalgic Encephalomyelitis/Chronic Fatigue Syndrome, and Multiple Chemical Sensitivity.",Int J Mol Sci,2025 Oct 14,10.3390/ijms26209997,autonomic_dysfunction
12563326,PMC12563326,Type B Fibers: A Novel Ultrastructural Biomarker for Cognitive Impairment in Neuronal Intranuclear Inclusion Disease.,Brain Sci,2025 Sep 23,10.3390/brainsci15101026,autonomic_dysfunction
12553641,PMC12553641,Pathology of the conus medullaris and cauda equina. Beyond the usual suspects.,Insights Imaging,2025 Oct 25,10.1186/s13244-025-02117-z,autonomic_dysfunction
12542510,PMC12542510,Tetanus following Guboow complications of Somali traditional burn therapy: a case report.,J Med Case Rep,2025 Oct 21,10.1186/s13256-025-05607-2,autonomic_dysfunction
12532868,PMC12532868,Multisystemic manifestations of a rare Glu89Lys (p. Glu109Lys) transthyretin amyloidosis: a case report of an East Asian female.,BMC Neurol,2025 Oct 17,10.1186/s12883-025-04392-1,autonomic_dysfunction
12508163,PMC12508163,Systematic review: digital biomarkers of fatigue in chronic diseases.,NPJ Digit Med,2025 Oct 8,10.1038/s41746-025-01939-x,autonomic_dysfunction
12490026,PMC12490026,Acetyl-DL-leucine (Tanganil™) in three patients with advanced multiple system atrophy.,BMC Neurol,2025 Oct 2,10.1186/s12883-025-04451-7,autonomic_dysfunction
12479046,PMC12479046,Charcot-Marie-Tooth Disease With Persistent Perioperative Hypotension due to Autonomic Dysfunction: A Case Report.,Case Rep Anesthesiol,2025,10.1155/cria/9639101,autonomic_dysfunction
12468104,PMC12468104,[(123)I]-Meta-Iodobenzylguanidine Scintigraphy in Sarcoidosis: Exploring Cardiac Autonomic Dysfunction in Patients with Unexplained Cardiac Symptoms.,Diagnostics (Basel),2025 Sep 11,10.3390/diagnostics15182306,autonomic_dysfunction
12468067,PMC12468067,Guillain-Barré Syndrome in Older People-A Case Report and Literature Review.,Diseases,2025 Sep 18,10.3390/diseases13090306,autonomic_dysfunction
12468459,PMC12468459,The Rehabilitation of a Patient with Acute Transverse Myelitis After HPV Vaccination-A Case Report.,Diseases,2025 Sep 1,10.3390/diseases13090281,autonomic_dysfunction
12453965,PMC12453965,Guillain-Barré Syndrome Following Falciparum Malaria in an 18-Year Male Adolescent: A Rare Case Report and Literature Review.,Clin Case Rep,2025 Sep,10.1002/ccr3.70932,autonomic_dysfunction
11559843,PMC11559843,"Autoimmune GFAP Astrocytopathy-Beyond the Known Horizon, India's First Multifaceted Institutional Experience.",Ann Neurosci,2025 Oct,10.1177/09727531241230213,autonomic_dysfunction
12448205,PMC12448205,Restrictive cardiomyopathy due to new mutation in the ACTN2 gene: a case report.,Eur Heart J Case Rep,2025 Sep,10.1093/ehjcr/ytaf421,autonomic_dysfunction
12442504,PMC12442504,Guillain-Barré Syndrome Secondary to Snake Bite: A Report of a Rare and Fatal Case.,Am J Case Rep,2025 Sep 13,10.12659/AJCR.948917,autonomic_dysfunction
12426198,PMC12426198,IgG4-related disease presenting with retroperitoneal fibrosis and hypertrophic spinal pachymeningitis: a rare case report and literature review.,Front Immunol,2025,10.3389/fimmu.2025.1619756,autonomic_dysfunction
12418807,PMC12418807,"Clinical Practice Guidelines for the Diagnosis, Management, and Surveillance of LMNB1-Related Autosomal Dominant Leukodystrophy.",Neurol Genet,2025 Oct,10.1212/NXG.0000000000200287,autonomic_dysfunction
12409181,PMC12409181,Diabetic Striatopathy: A Rare Case of Non-ketotic Hyperglycaemia-Induced Hemichorea.,Cureus,2025 Aug,10.7759/cureus.89384,autonomic_dysfunction
12409239,PMC12409239,Statin therapy and neuropathy in type 1 diabetes: A cross-sectional study.,Diabetes Obes Metab,2025 Oct,10.1111/dom.16617,autonomic_dysfunction
12396831,PMC12396831,Neuroleptic Malignant Syndrome in an Institutionalized Geriatric Patient Following Antipsychotic Switch to Quetiapine: A Fatal Outcome.,Cureus,2025 Jul,10.7759/cureus.89077,autonomic_dysfunction
12391061,PMC12391061,Lenticulostriate vasculopathy in newborns: whole genome sequencing data analysis.,Front Pediatr,2025,10.3389/fped.2025.1531086,autonomic_dysfunction
12381344,PMC12381344,Association Between Vaccination for Human Papillomavirus (HPV) and Autonomic Dysfunction and Menstrual Irregularities: A Self-Controlled Case Series Analysis.,Drugs Real World Outcomes,2025 Sep,10.1007/s40801-025-00504-y,autonomic_dysfunction
12369815,PMC12369815,Tetanus - a lethal and neglected infectious disease.,Ann Med Surg (Lond),2025 Jul,10.1097/MS9.0000000000003407,autonomic_dysfunction
12370160,PMC12370160,Comorbidity of Anxiety and Depression With Hypertension Among Young Adults in the United States: A Systematic Review of Bidirectional Associations and Implications for Blood Pressure Control.,Cureus,2025 Jul,10.7759/cureus.88532,autonomic_dysfunction
12357568,PMC12357568,Individuals Recovered from Severe COVID-19 are Predispose to Develop Atrial Fibrillation.,Int J Gen Med,2025,10.2147/IJGM.S527058,autonomic_dysfunction
12353725,PMC12353725,Intervention of Astragalus Membranaceus Extract in rats of spinal cord injury: a systematic review and meta-analysis.,Front Neurol,2025,10.3389/fneur.2025.1637608,autonomic_dysfunction
12347519,PMC12347519,A Comprehensive Review of a Mechanism-Based Ventricular Electrical Storm Management.,J Clin Med,2025 Jul 29,10.3390/jcm14155351,autonomic_dysfunction
12340729,PMC12340729,A Strategy for When Two Rare Entities Strike at Once: Carotid Artery Dissection With Carotid Sinus Hypersensitivity and Syndrome.,Cureus,2025 Jul,10.7759/cureus.87813,autonomic_dysfunction
12333716,PMC12333716,Spinal teratoma in an adolescent: a rare case report with intradural presentation and review of management strategies.,Ann Med Surg (Lond),2025 Aug,10.1097/MS9.0000000000003561,autonomic_dysfunction
12331266,PMC12331266,Pyloric Botulinum Toxin for Diabetic Gastroparesis: A Case of Sustained Glycaemic Improvement.,Eur J Case Rep Intern Med,2025,10.12890/2025_005495,autonomic_dysfunction
12321581,PMC12321581,Risk factors and predictors for Lewy body dementia: a systematic review.,NPJ Dement,2025,10.1038/s44400-025-00022-2,autonomic_dysfunction
12317807,PMC12317807,Profound Near Fatal Respiratory Dysfunction in a Neonate With Meningomyelocele: A Narrative With Neurosurgical Lessons.,Case Rep Pediatr,2025,10.1155/crpe/5569749,autonomic_dysfunction
12308146,PMC12308146,Heart Failure Management in Cardiac Amyloidosis: Towards a Paradigm Shift.,Card Fail Rev,2025,10.15420/cfr.2024.33,autonomic_dysfunction
12306247,PMC12306247,Mortality and risk factors in hospitalised adult patients with tetanus: a systematic review and meta-analysis.,BMJ Open,2025 Jul 28,10.1136/bmjopen-2025-101782,autonomic_dysfunction
12293099,PMC12293099,Sleep Disorders in Children with Rett Syndrome.,Children (Basel),2025 Jun 30,10.3390/children12070869,autonomic_dysfunction
12280218,PMC12280218,"The characteristic change of autoimmune encephalitis after the COVID-19 epidemic in Guangxi, China.",Sci Rep,2025 Jul 21,10.1038/s41598-025-10750-3,autonomic_dysfunction
12275011,PMC12275011,The Gut-Brain Axis in Parkinson disease: Emerging Concepts and Therapeutic Implications.,Mov Disord Clin Pract,2025 Jul,10.1002/mdc3.70029,autonomic_dysfunction
12274094,PMC12274094,Anesthesia Management in a Crisponi Syndrome Patient Undergoing Tracheotomy Surgery.,Case Rep Pediatr,2025,10.1155/crpe/7470643,autonomic_dysfunction
12265122,PMC12265122,The effects of non-insulin anti-diabetic medications on the diabetic microvascular complications: a systematic review and meta-analysis of randomized clinical trials.,BMC Endocr Disord,2025 Jul 16,10.1186/s12902-025-01985-2,autonomic_dysfunction
12254715,PMC12254715,Managing Psychosis in Acute Intermittent Porphyria: A Case Report on Olanzapine Use.,Cureus,2025 Jun,10.7759/cureus.85815,autonomic_dysfunction
12251536,PMC12251536,Heart Rate Variability (HRV) in Patients with Sleep Apnea and COPD: A Comprehensive Analysis.,J Clin Med,2025 Jun 30,10.3390/jcm14134630,autonomic_dysfunction
12238090,PMC12238090,Rehabilitation Strategies for Sleep and Autonomic Symptoms in Parkinson's Disease.,Curr Neurol Neurosci Rep,2025 Jul 8,10.1007/s11910-025-01433-7,autonomic_dysfunction
12209484,PMC12209484,Optimal foot skin care for diabetes-related foot ulcer prevention: scoping review.,Diabetol Int,2025 Jul,10.1007/s13340-025-00814-0,autonomic_dysfunction
12198438,PMC12198438,The human spinothalamic tract: lessons from cordotomy.,Brain Commun,2025,10.1093/braincomms/fcaf237,autonomic_dysfunction
12126594,PMC12126594,Single-nucleus and spatial signatures of the brainstem in normal brain and mild traumatic brain injury in male mice.,Nat Commun,2025 May 31,10.1038/s41467-025-59856-2,autonomic_dysfunction
12126662,PMC12126662,A Rare Culprit or an Elusive Culprit in Disguise? Unraveling Wild-Type ATTR Cardiac Amyloidosis in Heart Failure With Reduced Ejection Fraction.,J Investig Med High Impact Case Rep,2025 Jan-Dec,10.1177/23247096251345712,autonomic_dysfunction
12110449,PMC12110449,Anti-NMDA Receptor Encephalitis: A Narrative Review.,Brain Sci,2025 May 18,10.3390/brainsci15050518,autonomic_dysfunction
12103059,PMC12103059,Young-Onset Type 2 Diabetes and Its Association with Variant Angina in an Adolescent.,Am J Case Rep,2025 May 20,10.12659/AJCR.947489,autonomic_dysfunction
12089910,PMC12089910,Patients with Allan-Herndon-Dudley Syndrome (MCT8 Deficiency) Display Symptoms of Parkinsonism in Childhood and Respond to Levodopa/Carbidopa Treatment.,Mov Disord,2025 May,10.1002/mds.30152,autonomic_dysfunction
12077382,PMC12077382,A Case of Wallenberg Syndrome Presenting With Thunderclap Headache and Delayed Diagnosis Due to Negative Findings on Two MRI Examinations.,Cureus,2025 Apr,10.7759/cureus.82236,autonomic_dysfunction
12050346,PMC12050346,Quantitative Sensory Testing in a Girl With Tangier Disease: A Case Report.,Cureus,2025 Apr,10.7759/cureus.81676,autonomic_dysfunction
12049074,PMC12049074,Post-COVID-19 Guillain-Barré Syndrome with GM1 and GD1b Antibodies: A Case Study and Literature Review.,Am J Case Rep,2025 Apr 28,10.12659/AJCR.947416,autonomic_dysfunction
12046175,PMC12046175,Diagnostic and Therapeutic Challenges in an Acute Variegate Porphyric Crisis Complicated by Anuric Renal Failure and Multiorgan Dysfunction: A Case Report.,Am J Case Rep,2025 Apr 26,10.12659/AJCR.946969,autonomic_dysfunction
12040301,PMC12040301,New-Onset Progressive Ataxia in a 66-Year-Old Woman with Longstanding Parkinson's Disease: A Case Report.,Case Rep Neurol,2025 Jan-Dec,10.1159/000545411,autonomic_dysfunction
